Categoria,Item,1/1/25,1/2/25,4/3/25,1/4/25,5/5/25,1/6/25,2/7/25,14/8/25,3/9/25,1/10/25,2/11/25,22/12/25,1/1/26,1/2/26,1/3/26
Previdência,PGBL Itubers,7.897,7.967,8.035,8.106,8.203,8.290,8.367,8.510,8.552,8.641,8.738,11.903,11.942,12.106,12.240
Previdência,PGBL Mami,59.358,59.936,14.844,15.027,15.256,15.469,15.612,15.980,16.108,7.262,7.394,7.581,7.655,7.810,7.897
Renda Fixa,Corporate,515.541,520.230,108.371,109.358,110.677,111.876,112.932,114.889,115.493,46.182,46.711,47.586,47.743,48.404,48.948
Previdência,PGBL Yu,113.621,114.683,115.706,116.709,118.229,119.542,120.701,122.811,123.463,124.797,126.256,128.633,129.102,130.922,132.424
Renda Variável,Olympo V20,29.272,30.627,-,-,-,-,-,-,-,-,-,-,-,-,-
Previdência,PGBL Kinea,36.496,38.535,9.766,10.122,10.760,11.167,11.198,11.142,11.924,12.093,12.216,12.646,12.844,14.635,15.116
Previdência,VGBL Privilege,6.954,7.027,7.097,7.169,7.244,7.323,7.404,7.535,7.593,7.681,7.774,7.923,7.949,8.042,8.123
Previdência,PGBL Platin,3.087,3.115,3.141,3.169,3.207,3.241,3.272,3.327,3.345,3.378,3.417,3.480,3.491,-,-
Previdência,PGBL Corp IMA,11.889,12.052,12.154,12.285,12.507,12.666,12.776,12.977,13.009,13.142,13.280,13.525,13.576,-,-
Renda Fixa,CDB C6,42.556,43.101,-,-,-,-,-,-,-,-,-,-,92.509,93.783,-
Título Público,Título Público,136.812,137.737,138.722,88.952,90.858,90.766,93.132,92.483,90.694,92.109,93.313,91.654,,,
Renda Variável,Fundo Imob.,42.771,40.907,41.642,42.660,45.481,45.637,45.051,43.358,44.403,45.539,48.104,49.241,49.793,52.238,53.113
Renda Variável,Fundo Invest.,-,-,-,-,-,-,12.419,12.608,12.695,6.092,6.158,6.257,6.277,6.340,46.395
Renda Fixa,Cofrinhos,0,29.636,0,0,17.912,22.501,3.755,17.526,5.473,26.377,25.001,46.773,41.877,42.375,-
Previdência,Itaú CD,4.882.158,4.942.019,5.000.477,5.058.950,5.122.646,5.190.247,5.257.165,5.332.597,5.402.723,5.477.750,5.554.430,5.622.936,5.709.775,5.785.333,5.852.007
Previdência,Mami Previd. Santan,205.129,209.839,212.667,217.118,222.166,-,231.051,236.243,240.002,222.652,225.916,231.098,232.784,238.716,242.561
Título Público,Mami TD,106.953,111.829,110.893,103.550,105.071,-,106.402,107.839,107.776,114.843,117.762,119.663,120.034,122.515,121.828
Renda Fixa,Mami CDB,29.986,30.238,30.533,30.248,30.472,-,31.135,30.422,30.692,18.394,18.625,20.291,20.479,20.180,20.305
Renda Fixa,Mami LCA,14.307,14.435,9.568,9.653,9.751,-,9.947,10.434,10.514,10.617,10.742,10.937,10.970,11.089,9.812
Renda Fixa,Mami Fundos,14.273,13.735,14.469,14.500,14.893,-,15.144,15.388,15.463,15.678,15.871,15.956,16.031,16.359,-
Renda Fixa,Mami COE,9.132,9.032,9.132,9.132,9.132,-,9.132,9.132,9.132,9.132,9.132,9.132,9.132,9.132,9.132
