Date,Classification,Institution,Asset,Value
01/Jan/25,Previdência,PGBL Itubers,PGBL Itubers,7897.0
01/Feb/25,Previdência,PGBL Itubers,PGBL Itubers,7967.0
04/Mar/25,Previdência,PGBL Itubers,PGBL Itubers,8035.0
01/Apr/25,Previdência,PGBL Itubers,PGBL Itubers,8106.0
05/May/25,Previdência,PGBL Itubers,PGBL Itubers,8203.0
01/Jun/25,Previdência,PGBL Itubers,PGBL Itubers,8290.0
02/Jul/25,Previdência,PGBL Itubers,PGBL Itubers,8367.0
14/Aug/25,Previdência,PGBL Itubers,PGBL Itubers,8510.0
03/Sep/25,Previdência,PGBL Itubers,PGBL Itubers,8552.0
01/Oct/25,Previdência,PGBL Itubers,PGBL Itubers,8641.0
02/Nov/25,Previdência,PGBL Itubers,PGBL Itubers,8738.0
22/Dec/25,Previdência,PGBL Itubers,PGBL Itubers,11903.0
01/Jan/26,Previdência,PGBL Itubers,PGBL Itubers,11942.0
01/Feb/26,Previdência,PGBL Itubers,PGBL Itubers,12106.0
01/Mar/26,Previdência,PGBL Itubers,PGBL Itubers,12240.0
01/Jan/25,Previdência,PGBL Mami,PGBL Mami,59358.0
01/Feb/25,Previdência,PGBL Mami,PGBL Mami,59936.0
04/Mar/25,Previdência,PGBL Mami,PGBL Mami,14844.0
01/Apr/25,Previdência,PGBL Mami,PGBL Mami,15027.0
05/May/25,Previdência,PGBL Mami,PGBL Mami,15256.0
01/Jun/25,Previdência,PGBL Mami,PGBL Mami,15469.0
02/Jul/25,Previdência,PGBL Mami,PGBL Mami,15612.0
14/Aug/25,Previdência,PGBL Mami,PGBL Mami,15980.0
03/Sep/25,Previdência,PGBL Mami,PGBL Mami,16108.0
01/Oct/25,Previdência,PGBL Mami,PGBL Mami,7262.0
02/Nov/25,Previdência,PGBL Mami,PGBL Mami,7394.0
22/Dec/25,Previdência,PGBL Mami,PGBL Mami,7581.0
01/Jan/26,Previdência,PGBL Mami,PGBL Mami,7655.0
01/Feb/26,Previdência,PGBL Mami,PGBL Mami,7810.0
01/Mar/26,Previdência,PGBL Mami,PGBL Mami,7897.0
01/Jan/25,Renda Fixa,Corporate,Corporate,515541.0
01/Feb/25,Renda Fixa,Corporate,Corporate,520230.0
04/Mar/25,Renda Fixa,Corporate,Corporate,108371.0
01/Apr/25,Renda Fixa,Corporate,Corporate,109358.0
05/May/25,Renda Fixa,Corporate,Corporate,110677.0
01/Jun/25,Renda Fixa,Corporate,Corporate,111876.0
02/Jul/25,Renda Fixa,Corporate,Corporate,112932.0
14/Aug/25,Renda Fixa,Corporate,Corporate,114889.0
03/Sep/25,Renda Fixa,Corporate,Corporate,115493.0
01/Oct/25,Renda Fixa,Corporate,Corporate,46182.0
02/Nov/25,Renda Fixa,Corporate,Corporate,46711.0
22/Dec/25,Renda Fixa,Corporate,Corporate,47586.0
01/Jan/26,Renda Fixa,Corporate,Corporate,47743.0
01/Feb/26,Renda Fixa,Corporate,Corporate,48404.0
01/Mar/26,Renda Fixa,Corporate,Corporate,48948.0
01/Jan/25,Previdência,PGBL Yu,PGBL Yu,113621.0
01/Feb/25,Previdência,PGBL Yu,PGBL Yu,114683.0
04/Mar/25,Previdência,PGBL Yu,PGBL Yu,115706.0
01/Apr/25,Previdência,PGBL Yu,PGBL Yu,116709.0
05/May/25,Previdência,PGBL Yu,PGBL Yu,118229.0
01/Jun/25,Previdência,PGBL Yu,PGBL Yu,119542.0
02/Jul/25,Previdência,PGBL Yu,PGBL Yu,120701.0
14/Aug/25,Previdência,PGBL Yu,PGBL Yu,122811.0
03/Sep/25,Previdência,PGBL Yu,PGBL Yu,123463.0
01/Oct/25,Previdência,PGBL Yu,PGBL Yu,124797.0
02/Nov/25,Previdência,PGBL Yu,PGBL Yu,126256.0
22/Dec/25,Previdência,PGBL Yu,PGBL Yu,128633.0
01/Jan/26,Previdência,PGBL Yu,PGBL Yu,129102.0
01/Feb/26,Previdência,PGBL Yu,PGBL Yu,130922.0
01/Mar/26,Previdência,PGBL Yu,PGBL Yu,132424.0
01/Jan/25,Renda Variável,Olympo V20,Olympo V20,29272.0
01/Feb/25,Renda Variável,Olympo V20,Olympo V20,30627.0
01/Jan/25,Previdência,PGBL Kinea,PGBL Kinea,36496.0
01/Feb/25,Previdência,PGBL Kinea,PGBL Kinea,38535.0
04/Mar/25,Previdência,PGBL Kinea,PGBL Kinea,9766.0
01/Apr/25,Previdência,PGBL Kinea,PGBL Kinea,10122.0
05/May/25,Previdência,PGBL Kinea,PGBL Kinea,10760.0
01/Jun/25,Previdência,PGBL Kinea,PGBL Kinea,11167.0
