Date,Description,Category,Type,Value
01/Mar/26,Salario,Salário,Income,21000
01/Mar/26,Aluguel,Moradia,Expense,2500
01/Feb/26,Luz,Moradia,Expense,1200
01/Feb/26,Mercado,Saúde,Income,1700
01/Mar/26,Drograria,Pessoal,Expense,1100
01/Mar/26,Teste,Pessoal,Expense,5000
01/Mar/26,SSSS,Moradia,Expense,2132
01/Mar/26,asdas,Moradia,Expense,23
01/Mar/26,ssss,Moradia,Expense,22
04/Mar/26,XXX,Salário,Income,900
04/Mar/26,sssas,Moradia,Expense,900
04/Mar/26,aaa,Pessoal,Expense,800
04/Mar/26,qqq,Moradia,Expense,700
04/Mar/26,AAA,test,Income,600
04/Mar/26,AAAA,Salário,Income,5000
